Cod.,Descripción,Precios
3,Soporte egipcio con plato Nº 3,7457
5,Soporte estaca con plato Nº 1,2820
6,Soporte estaca con plato Nº 2,3212
7,Soporte estaca con plato Nº 3,4229
121,Soporte colgante con plato N° 1,3116
119,Soporte colgante redondo con plato N°2,3461
120,Soporte colgante redondo con macetero colonial N°1,3473
20,Plato de cerámica Nº 1 con 1 pájaro,1314
21,Plato de cerámica Nº 2 con 2 pájaros,1611
22,Plato de cerámica Nº 3 con 3 pájaros,2645
24,Plato colgante con soga Nº 1 con 1 pájaro,1469
25,Plato colgante con soga Nº 2 con 2 pájaro,1814
26,Plato colgante con soga Nº 3 con 3 pájaros,2915
28,Macetero cuadrado c/ plato Nº 1,1752
29,Macetero cuadrado c/ plato Nº 2,2013
30,Macetero cuadrado c/ plato Nº 3,2649
32,Jardinera rectangular con plato,3661
33,Macetero piramidal Nº 1 con plato,1961
34,Macetero piramidal Nº 2 con plato,2544
35,Macetero piramidal Nº 3 con plato,4028
36,Macetero oval Nº 1 con plato,980
37,Macetero oval Nº 2 con plato,1536
38,Macetero oval Nº 3 con plato,2048
40,Macetero hexagonal Nº 1 con plato,968
104,Macetero hexagonal N° 1 deco con plato ,1035
41,Macetero hexagonal Nº 2 con plato,1378
42,Macetero hexagonal Nº 3 con plato,1848
43,Macetero cilindrico Nº 1 con plato,1834
105,Macetero cilindro N°1 deco con plato,1887
44,Macetero cilindrico Nº 2 con plato,2043
45,Macetero cilindrico Nº 3 con plato,2649
49,Macetero frances con plato Nº 1,1491
50,Macetero frances con plato Nº 2,2597
51,Macetero frances con plato Nº 3,4028
95,Macetero colonial con plato N° 0,991
102,Macetero colonial con plato N° 0 deco,1049
52,Macetero colonial  con plato Nº 1,1622
53,Macetero colonial  con plato Nº 2,2246
54,Macetero colonial  con plato Nº 3,2560
96,Macetero colonial  con plato doble N°0,2385
101,Macetero colonial con plato doble deco N°0,2597
55,Macetero fontana con plato Nº 1,2075
56,Macetero fontana con plato Nº 2,2315
72,Macetero colgante con soga Nº 1,1736
73,Macetero colgante con soga Nº 2,1969
74,Macetero mini hexagonal,846
75,Macetero mini cuadrado,846
106,Macetero mini cuadrado deco,890
76,Macetero mini piramidal,846
111,Macetero mini piramidal deco,890
94,Macetero mini jardinera,1378
107,Macetero mini jardinera deco,1436
112,Macetero esfera N°1,901
113,Macetero esfera N°2,1192
114,Macetero esfera N°3,1447
115,Macetero esfera N°4,1791
116,Macetero esfera colgante N°2,1341
117,Macetero esfera colgante N°3,1636
118,Macetero esfera colgante N°4,1981
79,Paloma sin plato,1208
97,Macetero hexagonal Nº 2 liso con plato doble,2567
98,Macetero hexagonal Nº 2 decorado con plato doble,2679
100,Aplique (Jardin vertical),1431